date,open,start,close,end,aers
30/06/2025,8h00,18h00,22h00,22h00,6887826db0b4bfb03afe06e9
01/07/2025,8h00,18h00,20h00,20h00,688782b5b0b4bfb03afe06ef
02/07/2025,8h00,18h00,20h00,20h00,688782b5b0b4bfb03afe06ef
03/07/2025,8h00,18h00,20h00,20h00,688782b5b0b4bfb03afe06ef
04/07/2025,8h00,18h00,20h00,20h00,688782b5b0b4bfb03afe06ef
07/07/2025,8h00,18h00,20h00,20h00,688782b5b0b4bfb03afe06ef
08/07/2025,8h00,18h00,20h00,20h00,68878309b0b4bfb03afe06fe
09/07/2025,8h00,18h00,20h00,20h00,6887826db0b4bfb03afe06e9
10/07/2025,8h00,18h00,20h00,20h00,6887826db0b4bfb03afe06e9
11/07/2025,8h00,18h00,20h00,20h00,68878394b0b4bfb03afe0734
12/07/2025,8h00,18h00,20h00,20h00,688783dcb0b4bfb03afe074d
15/07/2025,8h00,18h00,20h00,20h00,688782d6b0b4bfb03afe06f6
16/07/2025,8h00,18h00,20h00,20h00,68878346b0b4bfb03afe0707
17/07/2025,8h00,18h00,20h00,20h00,68878394b0b4bfb03afe0734
18/07/2025,8h00,18h00,20h00,20h00,688782b5b0b4bfb03afe06ef
21/07/2025,8h00,18h00,20h00,20h00,6887826db0b4bfb03afe06e9
22/07/2025,8h00,18h00,20h00,20h00,68878309b0b4bfb03afe06fe
23/07/2025,8h00,18h00,20h00,20h00,688782d6b0b4bfb03afe06f6
24/07/2025,8h00,18h00,20h00,20h00,688783dcb0b4bfb03afe074d
25/07/2025,8h00,18h00,20h00,20h00,688782b5b0b4bfb03afe06ef
28/07/2025,8h00,18h00,20h00,20h00,68878346b0b4bfb03afe0707
29/07/2025,8h00,18h00,20h00,20h00,68878309b0b4bfb03afe06fe
30/07/2025,8h00,18h00,20h00,20h00,68878394b0b4bfb03afe0734
31/07/2025,8h00,18h00,20h00,20h00,68878394b0b4bfb03afe0734
